relation_id,relation_name,side,mapping_type,train_frequency,log_train_frequency,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
181,/people/profession/specialization_of,head,M-1,102,4.634728988229636,13,13,4,0.25274725896971567,0.5,0.25
182,/award/award_category/category_of,head,M-1,148,5.003946305945459,20,20,20,0.957142846924918,0.10000000149011612,0.1
183,/film/film/cinematography,head,M-1,336,5.820082930352362,17,17,5,0.15126050689390727,0.800000011920929,0.8
184,/film/film/film_production_design_by,head,M-1,158,5.0689042022202315,10,10,3,0.30000001192092896,0.0,0.0
185,/tv/tv_program/country_of_origin,head,M-1,268,5.594711379601839,32,32,21,0.42857142857142855,0.6666666865348816,0.38095238095238093
186,/film/film/edited_by,head,M-1,179,5.19295685089021,13,13,3,0.15384615851300104,0.6666666865348816,0.6666666666666666
187,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,head,M-1,103,4.6443908991413725,11,11,2,0.05194805349622454,1.0,1.0
188,/education/field_of_study/students_majoring./education/education/major_field_of_study,head,M-N,343,5.840641657373398,11,11,6,0.42857144134385244,0.6666666865348816,0.5
189,/education/educational_degree/people_with_this_degree./education/education/student,head,1-N,260,5.564520407322694,27,27,27,1.0,0.0,0.0
190,/location/us_county/county_seat,head,1-1,181,5.204006687076795,2,2,2,1.0,0.0,0.0
191,/film/film/film_festivals,head,M-1,264,5.579729825986222,18,18,7,0.09523809647985867,1.0,0.5714285714285714
192,/people/person/spouse_s./people/marriage/spouse,head,1-1,427,6.059123195581797,4,4,0,0.0,,
193,/film/film/runtime./film/film_cut/film_release_region,head,M-1,187,5.236441962829949,9,9,0,0.0,,
194,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,head,1-1,296,5.6937321388027,0,0,0,,,
195,/base/aareas/schema/administrative_area/administrative_area_type,head,M-1,156,5.056245805348308,20,20,20,0.9785714234624591,0.05000000074505806,0.05
196,/influence/influence_node/peers./influence/peer_relationship/peers,head,1-1,166,5.117993812416755,2,2,0,0.0,,
197,/government/governmental_body/members./government/government_position_held/legislative_sessions,head,M-N,101,4.624972813284271,12,12,12,1.0,0.0,0.0
198,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,head,M-N,208,5.342334251964811,21,21,20,0.7687074967793056,0.5,0.25
199,/organization/organization/place_founded,head,M-1,104,4.653960350157523,16,16,8,0.30357142857142855,0.875,0.625
200,/base/eating/practicer_of_diet/diet,head,M-1,137,4.927253685157205,11,11,1,0.02597402674811227,1.0,1.0
201,/tv/tv_program/program_creator,head,1-1,144,4.976733742420574,2,2,0,0.0,,
202,/people/deceased_person/place_of_burial,head,M-1,142,4.962844630259907,9,9,0,0.0,,
203,/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,head,M-1,246,5.5093883366279774,20,20,7,0.1642857167337622,0.8571428656578064,0.7142857142857143
204,/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,head,M-N,121,4.804021044733257,4,4,2,0.21428571428571427,1.0,0.5
205,/location/administrative_division/first_level_division_of,head,M-1,141,4.955827057601261,0,0,0,,,
206,/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,head,M-1,160,5.081404364984463,0,0,0,,,
207,/organization/organization/child./organization/organization_relationship/child,head,1-N,191,5.2574953720277815,20,20,13,0.42857142431395395,0.5384615659713745,0.38461538461538464
208,/business/business_operation/assets./measurement_unit/dated_money_value/currency,head,M-1,181,5.204006687076795,0,0,0,,,
209,/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,head,M-1,37,3.6375861597263857,3,3,1,0.28571429422923494,1.0,1.0
210,/time/event/instance_of_recurring_event,head,M-1,109,4.700480365792417,11,11,11,0.8571428571428571,0.1818181872367859,0.18181818181818182
211,/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,head,1-N,90,4.51085950651685,7,7,6,0.8571428656578064,0.0,0.0
212,/film/actor/film./film/performance/special_performance_type,head,M-1,180,5.198497031265826,16,16,3,0.09821428571428571,0.6666666865348816,0.6666666666666666
213,/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,head,M-1,198,5.293304824724492,0,0,0,,,
214,/people/ethnicity/languages_spoken,head,M-N,192,5.262690188904886,29,29,23,0.5566502341202327,0.6086956262588501,0.30434782608695654
215,/base/americancomedy/celebrity_impressionist/celebrities_impersonated,head,1-N,121,4.804021044733257,8,8,8,0.875,0.375,0.25
216,/medicine/symptom/symptom_of,head,M-N,154,5.043425116919247,31,31,30,0.9447004454476493,0.10000000149011612,0.1
217,/education/university/fraternities_and_sororities,head,M-1,131,4.882801922586371,21,21,10,0.24489796374525344,0.800000011920929,0.5
218,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,head,M-N,172,5.153291594497779,13,13,2,0.0439560455935342,1.0,1.0
219,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,head,M-1,220,5.3981627015177525,4,4,0,0.0,,
220,/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,head,M-N,146,4.990432586778736,20,20,20,0.9571428554398673,0.25,0.25
221,/location/country/official_language,head,M-1,225,5.420534999272286,16,16,4,0.11607142857142858,1.0,0.5
222,/location/location/partially_contains,head,M-1,133,4.897839799950911,13,13,9,0.5054945179394313,0.8888888955116272,0.5555555555555556
223,/film/film/film_art_direction_by,head,M-1,101,4.624972813284271,3,3,3,0.7619047718388694,0.6666666865348816,0.3333333333333333
224,/people/person/spouse_s./people/marriage/location_of_ceremony,head,M-1,251,5.529429087511423,35,35,5,0.07755102163978986,0.800000011920929,0.6
225,/education/university/international_tuition./measurement_unit/dated_money_value/currency,head,M-1,117,4.770684624465665,0,0,0,,,
226,/organization/organization_founder/organizations_founded,head,1-1,137,4.927253685157205,9,9,3,0.23809524306229182,0.6666666865348816,0.6666666666666666
227,/film/film/dubbing_performances./film/dubbing_performance/actor,head,M-N,114,4.74493212836325,8,8,8,0.8571428571428571,0.375,0.25
228,/dataworld/gardening_hint/split_to,head,1-1,99,4.605170185988092,10,10,7,0.699999988079071,0.0,0.0
229,/medicine/disease/risk_factors,head,M-N,162,5.093750200806762,13,13,6,0.37362638115882874,0.5,0.16666666666666666
230,/film/film/prequel,head,1-1,180,5.198497031265826,18,18,16,0.8095238123621259,0.1875,0.125
231,/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months,head,M-N,108,4.6913478822291435,3,3,3,1.0,0.0,0.0
232,/film/actor/dubbing_performances./film/dubbing_performance/language,head,M-1,112,4.727387818712341,12,12,2,0.07142857355730874,1.0,1.0
233,/broadcast/content/artist,head,1-N,102,4.634728988229636,14,14,14,1.0,0.0,0.0
234,/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,head,M-1,149,5.0106352940962555,0,0,0,,,
235,/music/instrument/family,head,M-1,100,4.61512051684126,6,6,1,0.07142857355730874,1.0,1.0
236,/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office,head,M-1,106,4.672828834461906,9,9,6,0.46031747119767324,0.5,0.3333333333333333
0,/location/country/form_of_government,tail,M-N,298,5.700443573390686,43,43,43,1.0,0.0,0.0
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tail,1-N,1272,7.149131598557407,91,91,22,0.13343799433537892,0.7272727489471436,0.4090909090909091
2,/media_common/netflix_genre/titles,tail,M-N,2671,7.890582534656536,124,124,30,0.14746543552194322,0.7666666507720947,0.43333333333333335
3,/award/award_winner/awards_won./award/award_honor/award_winner,tail,M-N,8423,9.03884005381381,41,41,29,0.6341463497706822,0.24137930572032928,0.13793103448275862
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,tail,M-N,2262,7.724446645633537,12,12,12,1.0,0.0,0.0
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,tail,M-N,2265,7.725771441587952,10,10,10,1.0,0.0,0.0
6,/film/actor/film./film/performance/film,tail,M-N,9494,9.158520623246385,836,836,176,0.1173957639506885,0.6988636255264282,0.32954545454545453
7,/award/award_category/nominees./award/award_nomination/nominated_for,tail,M-N,9465,9.155461710466193,858,858,326,0.24492175025599344,0.650306761264801,0.2822085889570552
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,tail,M-N,15989,9.679718805828,214,214,178,0.7636849199022565,0.1741573065519333,0.08426966292134831
9,/music/performance_role/regular_performances./music/group_membership/role,tail,M-N,2655,7.884576510596324,40,40,18,0.2535714294229235,0.7222222089767456,0.3888888888888889
10,/award/award_category/winners./award/award_honor/ceremony,tail,M-N,2834,7.949797216161852,323,323,312,0.9287925618035453,0.09294871985912323,0.05128205128205128
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,tail,M-1,1429,7.265429723253953,158,158,158,1.0,0.0,0.0
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,tail,M-N,2992,8.004031507852698,24,24,13,0.40476190192358835,0.38461539149284363,0.38461538461538464
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,tail,M-N,12893,9.464517365870565,1447,1447,1330,0.82051534312112,0.2684210538864136,0.11278195488721804
14,/film/film/language,tail,M-N,2570,7.852050207265889,314,314,301,0.9176524196352277,0.0830564796924591,0.059800664451827246
15,/location/location/contains,tail,M-N,5201,8.556798446008596,330,330,107,0.2021645030805043,0.6542056202888489,0.2803738317757009
16,/organization/organization/headquarters./location/mailing_address/country,tail,M-1,182,5.209486152841421,7,7,6,0.8571428656578064,0.0,0.0
17,/people/person/profession,tail,M-N,10945,9.300729371703863,1311,1311,1244,0.9140241997582572,0.08601286262273788,0.0409967845659164
18,/location/statistical_region/religions./location/religion_percentage/religion,tail,M-N,596,6.391917113392602,60,60,58,0.9285714370863778,0.06896551698446274,0.034482758620689655
19,/award/award_nominee/award_nominations./award/award_nomination/award,tail,M-N,12157,9.405742668308667,1067,1067,898,0.7058508566447667,0.3552338480949402,0.155902004454343
20,/music/genre/artists,tail,M-N,5880,8.679482094459956,664,664,314,0.26957830786705017,0.7261146306991577,0.3343949044585987
21,/influence/influence_node/influenced_by,tail,M-N,1908,7.554334823725748,235,235,120,0.34650456479617525,0.6083333492279053,0.3
22,/education/educational_institution/students_graduates./education/education/student,tail,1-N,2640,7.878912912297132,311,311,31,0.035829122843486924,0.9354838728904724,0.45161290322580644
23,/organization/organization_member/member_of./organization/organization_membership/organization,tail,M-N,797,6.682108597449809,96,96,96,0.9985119019235883,0.010416666977107525,0.010416666666666666
24,/people/person/place_of_birth,tail,M-1,2465,7.81035268372429,170,170,75,0.33193278312683105,0.4933333396911621,0.26666666666666666
25,/common/topic/webpage./common/webpage/category,tail,M-1,3612,8.19229373114764,402,402,402,1.0,0.0,0.0
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,tail,M-N,5305,8.576593534697684,606,606,594,0.9615747332572937,0.04545454680919647,0.021885521885521887
